統計期,總指數
101年,1.93
101年8月,3.43
101年9月,2.95
101年10月,2.33
101年11月,1.59
101年12月,1.62
102年,0.8
102年1月,1.11
102年2月,2.96
102年3月,1.35
102年4月,1.05
102年5月,0.73
102年6月,0.6
102年7月,0.06
102年8月,-0.78
102年9月,0.85
102年10月,0.65
102年11月,0.67
102年12月,0.33
103年,1.2
103年1月,0.82
103年2月,-0.04
103年3月,1.61
103年4月,1.65
103年5月,1.62
103年6月,1.63
103年7月,1.75
103年8月,2.08
103年9月,0.71
103年10月,1.06
103年11月,0.85
103年12月,0.61
104年,-0.31
104年1月,-0.93
104年2月,-0.2
104年3月,-0.62
104年4月,-0.82
104年5月,-0.73
104年6月,-0.56
104年7月,-0.63
104年8月,-0.45
104年9月,0.29
104年10月,0.3
104年11月,0.54
104年12月,0.13
105年,1.4
105年1月,0.8
105年2月,2.41
105年3月,2.01
105年4月,1.88
105年5月,1.23
105年6月,0.9
105年7月,1.24
105年8月,0.57
105年9月,0.33
105年10月,1.7
105年11月,1.97
105年12月,1.69
106年,0.62
106年1月,2.24
106年2月,-0.06
106年3月,0.18
106年4月,0.09
106年5月,0.6
106年6月,1
106年7月,0.77
106年8月,0.96
106年9月,0.49
106年10月,-0.33
106年11月,0.34
106年12月,1.22
107年,1.36
107年1月,0.89
107年2月,2.2
107年3月,1.59
107年4月,2.01
107年5月,1.75
107年6月,1.4
107年7月,1.75
107年8月,1.54
107年9月,1.72
107年10月,1.16
107年11月,0.29
107年12月,-0.06
108年,0.55
108年1月,0.18
108年2月,0.21
108年3月,0.56
108年4月,0.66
108年5月,0.93
108年6月,0.85
108年7月,0.39
108年8月,0.43
108年9月,0.42
108年10月,0.37
108年11月,0.58
108年12月,1.15
109年,-0.23
109年1月,1.86
109年2月,-0.2
109年3月,-0.02
109年4月,-0.97
109年5月,-1.21
109年6月,-0.74
109年7月,-0.51
109年8月,-0.33
109年9月,-0.58
109年10月,-0.26
109年11月,0.09
109年12月,0.04
110年,1.97
110年1月,-0.19
110年2月,1.38
110年3月,1.22
110年4月,2.11
110年5月,2.45
110年6月,1.83
110年7月,1.91
110年8月,2.34
110年9月,2.6
110年10月,2.55
110年11月,2.84
110年12月,2.63
111年,2.95
111年1月,2.83
111年2月,2.33
111年3月,3.27
111年4月,3.37
111年5月,3.39
111年6月,3.59
111年7月,3.35
111年8月,2.68
111年9月,2.76
111年10月,2.74
111年11月,2.35
111年12月,2.71
,
,
註解：,
由於受查者延誤或更正報價，最近3個月資料均可能修正。,
